fff,name,countries,group,group2,disease,all_host,host_type,secondary,secondary_type,all_vectors,vector_type,Type,CFR.low,CFR.high,cases_per_year,GROUP,TYPE,Modelled_as,notes,amplified,h2h,Vector,sporadic.endemic,%_cases_modelled,cases_per_yearx,spillover_rate_outbreaks,outbreaks_per_year,cases_per_year,Ecoregion,Eco_code,Continent,continent_code,Location,first.date,R0,R0_ref,total_area,total_pop_at_risk,mean_lon,mean_lat,Incubation.low,Incubation.high,acute_low,acute_high,CFR.low,CFR.high,proportion.of.recovered.that.are.immmune,X..chronic.carrier,Chronicduration_low,Chronicduration_high,chronic.morbidity,Convalescence_length...non.infectious.recovery,reference,notes,reference,test1
117,borna,"US,CA,MX,PE,ES,PT,IT,SN,GM,GW,GN,SL,LR,CI,GH,ML,BF,TG,BJ,NE,NG,SO,ET,KE,UG,TZ,BI,RW,TR,IL,GE,JO,LB,SY,PS,IQ,SA,IR,AM,AZ,MM,TH,LA,KH,VN,MY,PH,BN,MN",bornaviridae,bornaviridae,None reported,"canis lupus,crocidura,procyon,vulpes",mammalia,"cattle,pigs,sheep,goats",domestic,,,HOST->HUMAN,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ref: http://www.ncbi.nlm.nih.gov/pmc/articles/PMC88987/,34
118,tamiami,US,arenavirus,arenavirus,None reported,sigmodon hispidus,mammalia,,,,,HOST->HUMAN,0,0,1,VIRUS,HOST->HUMAN,H,,0,no,N,SPORADIC,100,10,1.00E-10,,10,TE,2,,,US,,0,,,,,,0,0,0,0,0,0,100,0,0,0,0,0,Werthiem,,ref: https://books.google.co.uk/books?id=beDMNjWgBdsC&pg=PA55&lpg=PA55&dq=Tacaribe+Artibeus&source=bl&ots=t-phWWA9MH&sig=amsag46GmLtqCeMX34v_wqetVT4&hl=en&sa=X&ved=0ahUKEwj41qmjhZjMAhWGBywKHTI7DegQ6AEISDAJ#v=onepage&q&f=falseWerthiem,213
119,tioman virus,"MY,SG",paramyxoviridae,paramyxoviridae,None reported,pteropus,mammalia,pigs,domestic,,,HOST->HUMAN,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wikipedia: amplified by pigs; ref: http://jvi.asm.org/content/82/1/565.full,219
120,bokeloh bat lyssavirus,"DE,FR",lyssavirus ,lyssavirus ,None reported,myotis nattereri,mammalia,,,,,HOST->HUMAN,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ref: Picard-Meyer,E; Servat,A; Robardet,E; Moinet,M; Borel,C; Cliquet,F (Nov 2013). ""Isolation of Bokeloh bat lyssavirus in Myotis ttereri in France"". Arch Virol 158 (11): 2333–4",33
121,asama,JP,hantavirus,hantavirus,None reported,urotrichus talpoides,mammalia,,,,,HOST->HUMAN,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Werthiem,12
122,ashriver,US,hantavirus,hantavirus,None reported,sorex cinereus,mammalia,,,,,HOST->HUMAN,0,0,1,VIRUS,HOST->HUMAN,H,,0,no,N,ENDEMIC,100,10,1.00E-10,,10,TE,2,,,US,,0,,,,,,0,0,0,0,0,0,100,0,0,0,0,0,Werthiem,,Werthiem,13
123,bloodland lake,US,hantavirus,hantavirus,None reported,microtus ochrogaster,mammalia,,,,,HOST->HUMAN,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ref: Schamljohn,C. S.,AND B. Hjelle. 1997. Hantaviruses: a global disease problem. Emerging Infectious Diseases. 3(2):95-104",31
124,blue river,US,hantavirus,hantavirus,None reported,peromyscus leucopus,mammalia,,,,,HOST->HUMAN,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ref:  Klein SL,Calisher CH.Emergence and persistence of hantaviruses.Curr Top Microbiol Immunol. 2007;315:217-52.",32
125,calabazo,PA,hantavirus,hantavirus,None reported,zygodontomys brevicauda,mammalia,,,,,HOST->HUMAN,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ref: Armien,B; Pascale,JM; Bayard,V; Munoz,C; Mosca,I; Guerrero,G; Armien,A; Quiroz,E; Castillo,Z; Zaldivar,Y; Gracia,F; Hjelle,B; Koster,F (Jun 2004). ""High seroprevalence of hantavirus infection on the Azuero peninsula of Pama"". Am J Trop Med Hyg 70 (6): 682–7.",48
126,campripley,US,hantavirus,hantavirus,None reported,blarina brevicauda,mammalia,,,,,HOST->HUMAN,0,0,1,VIRUS,HOST->HUMAN,H,,0,no,N,ENDEMIC,100,10,1.00E-10,,10,TE,2,,,US,,0,,,,,,0,0,0,0,0,0,100,0,0,0,0,0,Werthiem,,Werthiem,49
127,caobang,VN,hantavirus,hantavirus,None reported,anourosorex squamipes,mammalia,,,,,HOST->HUMAN,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ref: http://www.ncbi.nlm.nih.gov/pubmed/26921799,50
128,el moro canyon,US,hantavirus,hantavirus,None reported,reithrodontomys megalotis,mammalia,,,,,HOST->HUMAN,0,0,1,VIRUS,HOST->HUMAN,H,,0,no,N,ENDEMIC,100,10,1.00E-10,,10,TE,2,,,US,,0,,,,,,0,0,0,0,0,0,100,0,0,0,0,0,Werthiem,,Werthiem,70
129,hojo,KR,hantavirus,hantavirus,None reported,apodemus agrarius,mammalia,,,,,HOST->HUMAN,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ref: http://www.sciencedirect.com/science/article/pii/0168170292900299,87
130,isla vista,US,hantavirus,hantavirus,None reported,microtus pennsylvanicus,mammalia,,,,,HOST->HUMAN,0,0,1,VIRUS,HOST->HUMAN,H,,0,no,N,ENDEMIC,100,10,1.00E-10,,10,TE,2,,,US,,0,,,,,,0,0,0,0,0,0,100,0,0,0,0,0,Werthiem,,Werthiem,94
131,jemezsprings,US,hantavirus,hantavirus,None reported,sorex monticolus,mammalia,,,,,HOST->HUMAN,0,0,1,VIRUS,HOST->HUMAN,H,,0,no,N,ENDEMIC,100,10,1.00E-10,,10,TE,2,,,US,,0,,,,,,0,0,0,0,0,0,100,0,0,0,0,0,Werthiem,,Werthiem,98
132,khabarovsk,RU,hantavirus,hantavirus,None reported,microtus fortis,mammalia,,,,,HOST->HUMAN,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ref: http://www.ncbi.nlm.nih.gov/pubmed/8627257,101
133,lee,KR,hantavirus,hantavirus,None reported,apodemus agrarius,mammalia,,,,,HOST->HUMAN,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ref: lee hw et al. 1981,109
134,muju,KR,hantavirus,hantavirus,None reported,"myodes regulus,myodes rufocanus",mammalia,,,,,HOST->HUMAN,0,0,1,VIRUS,HOST->HUMAN,H,,0,no,N,ENDEMIC,,20000,1.00E-10,,20000,TE,2,,,KR,,0,,,,,,0,0,0,0,0,0,100,0,0,0,0,0,Werthiem,,Werthiem,137
135,neembucu,PY,hantavirus,hantavirus,None reported,oligoryzomys chacoensis,mammalia,,,,,HOST->HUMAN,0,0,1,VIRUS,HOST->HUMAN,H,,0,no,N,ENDEMIC,100,10,1.00E-10,,10,TR,1,SA,2,PY,,0,,,,,,0,0,0,0,0,0,100,0,0,0,0,0,Werthiem,,Werthiem,141
136,pergamino,AR,hantavirus,hantavirus,None reported,akodon azarae,mammalia,,,,,HOST->HUMAN,0,0,1,VIRUS,HOST->HUMAN,H,,0,no,N,ENDEMIC,100,10,1.00E-10,,10,TE,2,NthA,1,AR,,0,,,,,,0,0,0,0,0,0,100,0,0,0,0,0,Werthiem,,Werthiem,161
137,rio mamore,"BR,BO",hantavirus,hantavirus,None reported,oligoryzomys microtis,mammalia,,,,,HOST->HUMAN,0,0,1,VIRUS,HOST->HUMAN,H,,0,no,N,ENDEMIC,100,10,1.00E-10,,10,TR,1,NthA,1,"BR,BO",,0,,,,,,0,0,0,0,0,0,100,0,0,0,0,0,Werthiem,,Werthiem,190
138,rio mearim,BR,hantavirus,hantavirus,None reported,holochilus sciureus,mammalia,,,,,HOST->HUMAN,0,0,1,VIRUS,HOST->HUMAN,H,,0,no,N,ENDEMIC,100,10,1.00E-10,,10,TR,1,NthA,1,BR,,0,,,,,,0,0,0,0,0,0,100,0,0,0,0,0,Werthiem,,Werthiem,191
139,rio segundo,AR,hantavirus,hantavirus,None reported,reithrodontomys mexicanus,mammalia,,,,,HOST->HUMAN,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Werthiem,192
140,tanganya,GN,hantavirus,hantavirus,None reported,crocidura theresae,mammalia,,,,,HOST->HUMAN,0,0,1,VIRUS,HOST->HUMAN,H,,0,no,N,ENDEMIC,,20000,1.00E-10,,20000,TR,1,,,GN,,0,,,,,,0,0,0,0,0,0,100,0,0,0,0,0,Werthiem,,ref: http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3302504/Werthiem,214
141,thailand,TH,hantavirus,hantavirus,None reported,bandicota indica,mammalia,,,,,HOST->HUMAN,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Werthiem,216
142,thottapalayam,"IN,CN",hantavirus,hantavirus,None reported,suncus murinus,mammalia,,,,,HOST->HUMAN,0,0,1,VIRUS,HOST->HUMAN,H,,0,no,N,ENDEMIC,,20000,0.00001,,20000,TR,1,,,"IN,CN",,0,,,,,,0,0,0,0,0,0,100,0,0,0,0,14,Werthiem,,Werthiem,217
143,bat sars-like coronavirus wiv1,CN,betacoronavirus,betacoronavirus,None reported,rhinolophus sinicus,mammalia,paguma larvata,mammalia,,,HOST->HUMAN,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ref: Xing-Yi Ge,Jia-Lu Li,Xing-Lou Yang,et al. Isolation and characterization of a bat SARS-like corovirus that uses the ACE2 receptor. ture. (2013). doi:10.1038/ture12711",25
144,babesia meri,"GW,GN,SL,LR,CI,GH,ML,BF,TG,BJ,NE,NG,SO,ET,KE,UG,TZ,BI,RW,ZA",parasite,babesia,None reported,psammomys obesus,mammalia,,,ornithodoros erraticus,,HOST->VECTOR->HUMAN,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ref: http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3862492/,17
145,allpahuayo,PE,arenavirus,arenavirus,None reported,oecomys,mammalia,,,,,HOST->HUMAN,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ref: Viral Haemorrhagic Fevers By Colin R. Howard,2
146,bear canyon,US,arenavirus,arenavirus,None reported,peromyscus californicus,mammalia,,,,,HOST->HUMAN,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ref: Viral Haemorrhagic Fevers By Colin R. Howard,28
147,ippy,CF,arenavirus,arenavirus,None reported,arvicanthis,mammalia,,,,,HOST->HUMAN,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ref: http://emedicine.medscape.com/article/212356-overview,92
148,mobala,CF,arenavirus,arenavirus,None reported,praomys,mammalia,,,,,HOST->HUMAN,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ref: http://emedicine.medscape.com/article/212356-overview,132
149,mopeia,"ZA,NA,LS,BW,ZW,ZM,AO,MZ,CD,CG,GA,GQ,CM,CF,SS,SD,TD",arenavirus,arenavirus,None reported,mastomys natalensis,mammalia,,,,,HOST->HUMAN,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ref: http://emedicine.medscape.com/article/212356-overview,136
150,tacaribe,TT,arenavirus,arenavirus,None reported,artibeus,mammalia,,,,,HOST->HUMAN,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ref: Viral Haemorrhagic Fevers By Colin R. Howard,211
151,fort morgan,US,alphavirus,alphavirus,None reported,petrochelidon pyrrhonota,aves,,,oeciacus vicarius,,HOST->VECTOR->HUMAN,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Werthiem,77
152,histoplasma capsulatum,US,fungi,fungi,Ohio Valley Disease,"myotis grisescens,myotis austroriparius",mammalia,,,,,HOST->HUMAN,5,8,5.00E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ref: http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1797635/,86
153,opisthorchis viverrini,"TH,KH,VN,LA,KR,JP",parasite,opisthorchis,Opisthorchiasis,human,human,,,bithynia,,HUMAN->VECTOR->HUMAN,0.5,0.5,9.00E+06,PARASITE,HUMAN->VECTOR->HUMAN,V_H,,0,no,B,ENDEMIC,100,10000000,0.044800265,,10000000,TR,1,AS,5,"TH,KH,VN,LA,KR,JP",,0,,170693,223212963,113.394,23.80083333,21,28,14,14,0.5,0.5,0,95,1000,1000,45,14,Werthiem,,http://patient.info/doctor/opisthorchiasis,146
154,opisthorchis felineus,"IT,UA,BY,KZ,RU",parasite,opisthorchis,Opisthorchiasis,human,human,,,bithynia,,HUMAN->VECTOR->HUMAN,0.5,0.5,1200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://patient.info/doctor/opisthorchiasis,145
155,leishmania guyanensis,"CO,VE,GY,SR,GF,EC,BR,PE,BO,CL,AR,PY,UY",parasite,leishmania,Cutaneous leishmaniasis,human,human,,,,,HUMAN->VECTOR->HUMAN,,,500000,PARASITE,HOST->VECTOR->HUMAN,H,VECTOR NOT MODELLED NOT ENOUGH DATA,,no,Y,ENDEMIC,100,,,,,TR,1,SA,2,"CO,VE,GY,SR,GF,EC,BR,PE,BO,CL,AR,PY,UY",,0,,1752020,333224543,-63.70623077,-9.933230769,7,300,0,0,0,0,50,100,300,300,10,14,Werthiem,,,113
155,leishmania mexicana,"BZ,GT,HN,SV,NI,CR,PA,MX,US",parasite,leishmania,Cutaneous leishmaniasis,human,human,,,,,HUMAN->VECTOR->HUMAN,,,500000,PARASITE,HOST->VECTOR->HUMAN,H,VECTOR NOT MODELLED NOT ENOUGH DATA,,no,Y,ENDEMIC,100,,,,,TR,1,NthA,1,"BZ,GT,HN,SV,NI,CR,PA,MX,US",,0,,1157839,437470987,-89.53,17.31088889,7,300,0,0,0,0,50,100,300,300,10,14,Werthiem,,,116
155,leishmania panamensis,"CR,PA,EC,CO,PE,VE,BR,GF,GY,SR",parasite,leishmania,Cutaneous leishmaniasis,human,human,,,,,HUMAN->VECTOR->HUMAN,,,500000,PARASITE,HOST->VECTOR->HUMAN,H,VECTOR NOT MODELLED NOT ENOUGH DATA,,no,Y,ENDEMIC,100,,,,,TR,1,"NthA,SA","1,2","CR,PA,EC,CO,PE,VE,BR,GF,GY,SR",,0,,1250350,267328939,-67.9373,2.074,7,300,0,0,0,0,50,100,300,300,10,5.5,Werthiem,,,117
155,oropouche,"PA,PE,BR,TT",orthobunyavirus,orthobunyavirus,Oropouche Virus Disease,bradypus,mammalia,,,"culex quinquefasciatus,ochlerotatus serratus",,HOST->VECTOR->HUMAN->VECTOR->HUMAN,0,0,11111.11111,VIRUS,HOST->VECTOR->HUMAN->VECTOR->HUMAN,HV,"NO - BOTH use bradypus variagata and aedes,culex, culicoides from SA",0,no,Y,SPORADIC,,11111.11111,0.0000508,0.290909091,11111.11111,TR,1,SA,2,"PA,PE,BR,TT",1955,0,,981898,218660249,-67.7035,-0.3115,2,14,7,7,0,0,100,50,150,150,20,14,Werthiem,,Werthiem,150
156,paracoccidiodes brasiliensis,"MX,PA,CO,VE,BR,AR,UY,EC,PE,BO,",fungi,fungi,Paracoccidioidomycosis,dasypus novemcinctus,mammalia,,,,,HOST->HUMAN,10,10,8.34277908,FUNGI,HOST->HUMAN,H,,0,no,N,ENDEMIC,100,8.34277908,0.00000002,,8.34277908,TR,1,"NthA,SA","1,2","MX,PA,CO,VE,BR,AR,UY,EC,PE,BO,",,0,,1791622,417138954,-71.5685,-6.3015,30,500,7,14,10,10,0,98,300,300,0,14,Werthiem,,Werthiem,151
157,leishmania aethiopica,"ET,KE",parasite,leishmania,Cutaneous leishmaniasis,human,human,,,,,HUMAN->VECTOR->HUMAN,,,500000,PARASITE,HOST->VECTOR->HUMAN,H,VECTOR NOT MODELLED NOT ENOUGH DATA,,no,Y,ENDEMIC,100,500000,0.00436358,,500000,TR,1,AF,4,"ET,KE",,0,,156914,114584809,38.737,4.578,7,300,0,0,0,0,0,100,300,300,10,14,Werthiem,,,110
157,leishmania major,"KZ,RU,UZ,TM,TJ,KG,PK,AF,MA,DZ,TN,LY,EG,TR,IL,GE,JO,LB,SY,PS,IQ,SA,IR,AM,AZ,SO,ET,KE,UG,TZ,BI,RW",parasite,leishmania,Cutaneous leishmaniasis,human,human,,,,,HUMAN->VECTOR->HUMAN,,,500000,PARASITE,HOST->VECTOR->HUMAN,H,VECTOR NOT MODELLED NOT ENOUGH DATA,,no,Y,ENDEMIC,100,500000,0.000516051,,500000,WW,0,"AF,AS","4,5","KZ,RU,UZ,TM,TJ,KG,PK,AF,MA,DZ,TN,LY,EG,TR,IL,GE,JO,LB,SY,PS,IQ,SA,IR,AM,AZ,SO,ET,KE,UG,TZ,BI,RW,",,0,,3627375,968896239,42.701375,28.3658125,7,300,0,0,0,0,0,100,300,300,10,14,Werthiem,,,115
157,paragonimus skjabini,"CN,MM,TH,LA,KH,VN,MY,PH,BN",parasite,paragonimus,Paragonimiasis,human,human,,,"aroapyrgus,semisulcospira,thiara",,HUMAN->VECTOR->HUMAN,2,2,1.00E+07,PARASITE,HUMAN->VECTOR->HUMAN,V_H,,0,no,B,ENDEMIC,100,10000000,0.006119604,,10000000,WW,0,AS,5,"CN,MM,TH,LA,KH,VN,MY,PH,BN",,0,,1186067,1634092552,106.1111111,16.08166667,300,300,28,28,2,2,0,100,600,3600,30,14,Werthiem,,Werthiem,157
158,paragonimus westermani,"MM,TH,LA,KH,VN,MY,PH,BN,IN,PH,PG",parasite,paragonimus,Paragonimiasis,human,human,,,"aroapyrgus,semisulcospira,thiara",,HUMAN->VECTOR->HUMAN,2,2,1.00E+07,PARASITE,HUMAN->VECTOR->HUMAN,V_H,,0,no,B,ENDEMIC,100,10000000,0.00684188,,10000000,WW,0,AS,5,"MM,TH,LA,KH,VN,MY,PH,BN,IN,PH,PG",,0,,595929,1461586553,107.1564,12.8247,300,300,28,28,2,2,0,100,600,3600,30,14,Werthiem,,Werthiem,159
159,paragonimus mexicanus,"BZ,GT,HN,SV,NI,CR,PA,CO,VE,GY,SR,GF,EC,BR,PE,BO,CL,AR,PY,UY",parasite,paragonimus,Paragonimiasis,human,human,,,"aroapyrgus,semisulcospira,thiara",,HUMAN->VECTOR->HUMAN,2,2,1500000,PARASITE,HUMAN->VECTOR->HUMAN,V_H,,0,no,B,ENDEMIC,100,1500000,0.004091846,,1500000,TR,1,"NthA,SA","1,2","BZ,GT,HN,SV,NI,CR,PA,CO,VE,GY,SR,GF,EC,BR,PE,BO,CL,AR,PY,UY",,0,,1803094,366582689,-71.6405,-1.84535,300,300,28,28,2,2,0,100,600,3600,30,14,Werthiem,,Werthiem,155
160,paragonimus heterotremus,"TH,CN,MM,TH,LA,KH,VN,MY,PH,BN",parasite,paragonimus,Paragonimiasis,human,human,,,"aroapyrgus,semisulcospira,thiara",,HUMAN->VECTOR->HUMAN,2,2,2.00E+05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3461730/,153
161,paragonimus miyazakii,JP,parasite,paragonimus,Paragonimiasis,human,human,"eriocheir japonicus,eriocheir sinensis,cambaroides similis,potamon dehaani",crustacean,"aroapyrgus,semisulcospira,thiara",,HUMAN->VECTOR->HUMAN,2,2,36.91666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.ncbi.nlm.nih.gov/pubmed/25743009,156
162,paragonimus africanus,"SN,GM,GW,GN,SL,LR,CI,GH,ML,BF,TG,BJ,NE,NG",parasite,paragonimus,Paragonimiasis,human,human,"callinectes,liberonautes,sudanonautes",crustacean,"potodoma,melania",,HUMAN->VECTOR->HUMAN,2,2,13.88888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.bioline.org.br/request?am08033,152
163,paragonimus uterobilateralis,"SN,GM,GW,GN,SL,LR,CI,GH,ML,BF,TG,BJ,NE,NG",parasite,paragonimus,Paragonimiasis,human,human,"callinectes,liberonautes,sudanonautes",crustacean,"potodoma,melania",,HUMAN->VECTOR->HUMAN,2,2,13.88888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.bioline.org.br/request?am08033,158
164,paragonimus kellicotti,"US,CA,MX",parasite,paragonimus,Paragonimiasis,human,human,,,"aroapyrgus,semisulcospira,thiara",,HUMAN->VECTOR->HUMAN,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://wwwnc.cdc.gov/eid/article/18/8/pdfs/12-0335.pdf,154
165,penicillium marneffi,"IN,MM,JP,CN,TH,LA,KH,VN,MY,ID",fungi,fungi,Penicilliosis,"cannomys badius,rhizomys pruinosus,rhizomys sinensis,rhizomys sumatrensis",mammalia,,,,,HOST->HUMAN,22.8,22.8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://wwwnc.cdc.gov/eid/article/17/2/pdfs/10-0718.pdf,160
166,coxiella burnetii,"AG,DZ,AZ,AL,AM,AO,AS,AR,AU,BH,BB,BM,BS,BD,BZ,BA,BO,MM,BJ,SB,BR,BG,BN,CA,KH,LK,CG,CD,BI,CN,AF,BT,CL,KY,CM,TD,KM,CO,CR,CF,CU,CV,CK,CY,DK,DJ,DM,DO,EC,EG,IE,GQ,EE,ER,SV,ET,AT,CZ,GF,FI,FJ,FK,FM,PF,FR,GM,GA,GE,GH,GD,GL,DE,GU,GR,GT,GN,GY,HT,HN,HR,HU,IS,IN,IR,IL,IT,CI,IQ,JP,JM,JO,KE,KG,KP,KI,KR,KW,KZ,LA,LB,LV,BY,LT,LR,SK,LI,LY,MG,MQ,MN,MS,MK,ML,MA,MU,MR,MT,OM,MV,MX,MY,MZ,MW,NC,NU,NE,AW,AI,BE,HK,MP,FO,AD,GI,IM,LU,MO,MC,PS,ME,YT,AX,NF,CC,BV,TF,HM,IO,CX,UM,VU,NG,NL,NO,NP,NR,SR,NI,NZ,PY,PE,PK,PL,PA,PT,PG,GW,QA,RE,RO,MD,PH,PR,RU,RW,SA,KN,SC,ZA,LS,BW,SN,SI,SL,SG,SO,ES,LC,SD,SE,SY,CH,TT,TH,TJ,TK,TO,TG,ST,TN,TR,TV,TM,TZ,UG,GB,UA,US,BF,UY,UZ,VC,VE,VG,VN,VI,NA,WF,WS,SZ,YE,ZM,ZW,ID,GP,AN,AE,TL,PN,PW,MH,PM,SH,SM,TC,EH,RS,VA,MF,BL,GG,JE,GS,TW",bacteria,coxiella,Q Fever,"cattle,goats,sheep,macropus,dendrolagus,petrogale,thylogale",mammalia,,,"rhipicephalus sanguineus,haemaphysalis humerosa,amblyomma triguttatum,dermacentor occidentalis,amblyomma americanum,haemaphysalis leporis-palustris,ixodes dentatus,otobius magnini,ixodes holocyclus,haemaphysalis bispinosa,dermacentor andersoni,ixodes",,HOST->VECTOR->HUMAN->HUMAN,1.5,1.5,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ref: http://www.ncbi.nlm.nih.gov/pmc/articles/PMC88923/,59
167,rickettsia australis,AU,bacteria,rickettsia,Queensland tick typhus,"ixodes holocyclus,ixodes tasmani",invert,,,,,HOST->HUMAN,0,0,500,BACTERIA,HOST->HUMAN,H,invert host,0,no,N,ENDEMIC,100,500,0.0000246,,500,TE,2,AU,6,AU,1946,0,,768230,20310208,136.189,-24.973,7,7,14,14,0,0,100,0,0,0,0,14,Werthiem,,Werthiem,177
